"age.yr.bp","temperature","temperature.rescaled"
303,-31.7934707497374,-1.73449777774368
304,-31.795118617925,-1.73436792318346
305,-31.7967664861126,-1.73423806862323
306,-31.7984143543002,-1.73410821406302
307,-31.8000886607219,-1.73397627612909
308,-31.8025388885118,-1.73378319439203
309,-31.8053903558823,-1.73355849435586
310,-31.8082379861828,-1.73333409668672
311,-31.8110856164833,-1.73310969901759
312,-31.8139332467838,-1.73288530134846
313,-31.8167808770843,-1.73266090367932
314,-31.8196130277157,-1.73243772583204
315,-31.8241026759328,-1.73208393461309
316,-31.8316763490174,-1.73148711746773
317,-31.8393475032599,-1.73088261865646
318,-31.8470186575024,-1.7302781198452
319,-31.854689811745,-1.72967362103393
320,-31.8623609659875,-1.72906912222266
321,-31.8700332993938,-1.72846453049146
322,-31.8770923741806,-1.72790826448736
323,-31.8780322591006,-1.72783420010293
324,-31.8773883863222,-1.72788493827308
325,-31.8767577395915,-1.72793463421021
326,-31.8761270928609,-1.72798433014735
327,-31.8754964461303,-1.72803402608449
328,-31.8748657993996,-1.72808372202162
329,-31.8742351360867,-1.72813341926547
330,-31.8736337540254,-1.72818080910143
331,-31.87347744951,-1.72819312613884
332,-31.873479007239,-1.72819300338739
333,-31.873479007239,-1.72819300338739
334,-31.873479007239,-1.72819300338739
335,-31.873479007239,-1.72819300338739
336,-31.873479007239,-1.72819300338739
337,-31.873479007239,-1.72819300338739
338,-31.8734665593772,-1.72819398429813
339,-31.8702242610716,-1.72844948241609
340,-31.863973863768,-1.72894202338457
341,-31.857724591269,-1.72943447571671
342,-31.8514753187699,-1.72992692804886
343,-31.8452260462709,-1.730419380381
344,-31.8389767737719,-1.73091183271314
345,-31.8327275012729,-1.73140428504528
346,-31.8265359031514,-1.73189219254733
347,-31.8217529530691,-1.73226909640661
348,-31.8176330138908,-1.73259375398186
349,-31.8135065363453,-1.73291892679055
350,-31.8093800587998,-1.73324409959925
351,-31.8052535812543,-1.73356927240795
352,-31.8011271037088,-1.73389444521665
353,-31.7970005670932,-1.73421962268015
354,-31.792961126067,-1.7345379368766
355,-31.7901633727257,-1.73475840416426
356,-31.7877873505341,-1.73494563838547
357,-31.7854072364786,-1.73513319505188
358,-31.7830271224231,-1.73532075171829
359,-31.7806470083676,-1.7355083083847
360,-31.7782668943121,-1.7356958650511
361,-31.7758817614269,-1.73588381720904
362,-31.7740711450555,-1.7360264965777
363,-31.7731924624872,-1.73609573812222
364,-31.7723336373431,-1.73616341487103
365,-31.771474812199,-1.73623109161983
366,-31.7706159870548,-1.73629876836864
367,-31.7697571619107,-1.73636644511744
368,-31.7688983367666,-1.73643412186625
369,-31.76805088794,-1.73650090214365
370,-31.7677276792685,-1.73652637148653
371,-31.7677303345706,-1.73652616224462
372,-31.7677303345706,-1.73652616224462
373,-31.7677303345706,-1.73652616224462
374,-31.7677303345706,-1.73652616224462
375,-31.7677303345706,-1.73652616224462
376,-31.7677303345706,-1.73652616224462
377,-31.7677783765257,-1.7365223764643
378,-31.7688384136622,-1.73643884389949
379,-31.7703300974566,-1.73632129691086
380,-31.7718173759956,-1.73620409706317
381,-31.7733046545345,-1.73608689721549
382,-31.7747919330735,-1.7359696973678
383,-31.7762792116124,-1.73585249752011
384,-31.7777667870415,-1.73573527427701
385,-31.7789958228358,-1.73563842435676
386,-31.7772975376668,-1.73577225185304
387,-31.7747789678165,-1.73597071905008
388,-31.7722676645242,-1.73616861363113
389,-31.7697563612319,-1.73636650821217
390,-31.7672450579396,-1.73656440279321
391,-31.7647337546473,-1.73676229737425
392,-31.762222451355,-1.7369601919553
393,-31.7597145478064,-1.73715781863128
394,-31.7568566964259,-1.73738302173731
395,-31.7532957263916,-1.73766363168005
396,-31.749708890214,-1.73794627991485
397,-31.7461220540365,-1.73822892814965
398,-31.7425352178589,-1.73851157638446
399,-31.7389483816813,-1.73879422461926
400,-31.7353615455037,-1.73907687285407
401,-31.7317746047527,-1.73935952932942
402,-31.7282294587643,-1.73963889231288
403,-31.7250593191861,-1.73988870421159
404,-31.7219786636105,-1.74013146463257
405,-31.7188973110896,-1.74037427997392
406,-31.7158159585688,-1.74061709531527
407,-31.712734606048,-1.74085991065662
408,-31.7096532535272,-1.74110272599797
409,-31.7065662484555,-1.74134598676906
410,-31.704053229417,-1.74154401655356
411,-31.7031707078002,-1.74161356062103
412,-31.7023964969119,-1.7416745696357
413,-31.701622223803,-1.74173558355344
414,-31.700847950694,-1.74179659747118
415,-31.7000736775851,-1.74185761138892
416,-31.6992994044762,-1.74191862530666
417,-31.698516853753,-1.74198029151321
418,-31.6986123536114,-1.74197276597676
419,-31.7015520354377,-1.74174111450511
420,-31.7047122468106,-1.74149208496432
421,-31.7078722939838,-1.74124306836274
422,-31.7110323411569,-1.74099405176115
423,-31.71419238833,-1.74074503515957
424,-31.7173524355032,-1.74049601855798
425,-31.7205125079284,-1.74024699996649
426,-31.7236308697502,-1.74000126823503
427,-31.7261289771527,-1.73980441351049
428,-31.7284102149777,-1.73962464844388
429,-31.7306935811437,-1.7394447156607
430,-31.7329769473096,-1.73926478287753
